2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
4.119,4.34643,4.61,4.86,4.67,4.7,4.8,4.8,4.8,5.3,5.3
0.39072,0.39351,0.37,0.31,0.29,0.27,0.33,0.33,0.35,0.36,0.38
1.32375,1.30299,1.44,1.46,1.41,1.4,1.43,1.64,1.73,1.67,1.98
0.33804,0.33638,0.33,0.49,0.54,0.56,0.31,0.33,0.36,0.4,0.38
0.00314,0.00669,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.93228,4.95598,5.46,5.79,5.64,5.32,5.46,5.36,5.13,4.79,4.59
4.26694,4.29561,4.19,4.06,4.08,3.84,4.07,4.02,3.99,3.98,4.05
0.37229,0.39698,0.53,0.5,0.45,0.42,0.44,0.46,0.48,0.5,0.5
0.14411,0.14773,0.16,0.16,0.17,0.17,0.17,0.15,0.08,0.09,0.08
0.3785,0.37267,0.38,0.39,0.41,0.4,0.4,0.4,0.45,0.48,0.48
0.06918,0.07227,0.07,0.08,0.08,0.09,0.1,0.09,0.09,0.1,0.09
2.77167,2.77145,2.78,2.77,2.77,2.76,2.76,2.76,2.77,2.78,2.8
0.00063,0.00219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.56418,1.9757,1.8,1.95,1.84,1.85,1.68,1.41,1.83,1.85,1.94
3.67576,3.83112,3.53,3.53,3.41,3.28,3.38,3.59,3.72,3.72,3.72
1.95569,1.60413,1.65,1.83,1.95,1.78,1.62,1.52,1.5,1.51,1.53
1.05456,1.10566,1.61,1.96,2.29,2.33,2.12,2.13,2.14,2.04,2.23
5.46419,4.47236,4.2,4.0,4.28,3.94,3.58,3.5,3.54,3.71,3.83
0.24,0.23,0.2,0.18,0.18,0.18,0.15,0.16,0.17,0.17,0.18
0.58994,0.5716,0.63,0.7,0.75,0.77,0.84,0.99,1.05,1.03,1.03
0.12985,0.14183,0.15,0.17,0.24,0.28,0.32,0.37,0.42,0.46,0.5
0.7738,1.11004,1.05,1.09,1.17,1.17,1.22,1.24,1.32,1.34,1.37
0.08337,0.09427,0.1,0.12,0.13,0.16,0.18,0.19,0.21,0.22,0.22
4.78653,4.42255,4.36,4.34,4.37,4.2,4.12,4.04,4.05,4.02,3.99
4.03074,3.78355,3.68,3.65,3.38,3.45,3.33,3.28,3.38,3.34,3.39
1.35838,1.30104,1.31,1.31,1.31,1.34,1.38,1.44,1.52,1.6,1.57
0.05228,0.0511,0.05,0.05,0.05,0.04,0.05,0.05,0.05,0.04,0.04
0.64738,0.65641,0.71,0.72,0.71,0.7,0.7,0.72,0.71,0.72,0.73
3.06,2.96,2.91,2.83,2.67,2.68,2.62,2.57,2.65,2.63,2.66
0.20516,0.20374,0.2,0.2,0.19,0.18,0.17,0.17,0.16,0.16,0.17
0.00184,0.00189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.86468,4.0371,4.1,4.21,4.27,4.43,4.79,5.36,5.13,5.4,5.29
3.55036,3.26773,3.27,3.31,3.2,3.19,3.16,3.12,3.14,3.23,3.27
2.8504,3.06503,3.2,3.17,3.28,3.17,3.19,3.16,3.13,3.09,3.01
1.21871,1.2094,1.29,1.28,1.25,1.09,1.1,1.11,1.23,1.38,1.47
5.59286,5.39005,5.32,5.56,5.84,5.74,5.8,5.82,5.84,5.78,5.9
3.09825,3.03799,3.03,2.75,2.64,2.58,2.47,2.57,2.62,2.62,2.62
0.34295,0.32699,0.31,0.3,0.31,0.29,0.28,0.28,0.29,0.29,0.29
5.7447,5.18661,4.83,5.0,5.35,5.14,4.86,5.22,5.25,5.28,5.33
0.57399,0.71268,0.16,0.18,0.2,0.21,0.19,0.23,0.24,0.21,0.23
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.17514,0.14684,0.14,0.15,0.14,0.14,0.14,0.14,0.19,0.19,0.21
3.73867,3.25468,3.32,3.32,3.25,3.06,2.95,3.1,3.07,3.12,3.24
0.17189,0.176,0.16,0.17,0.18,0.22,0.12,0.12,0.1,0.14,0.17
1.21892,1.22072,1.29,1.31,1.35,1.24,1.29,1.27,1.28,1.25,1.25
5.16,5.09,4.59,4.94,4.58,4.55,5.37,5.73,4.35,4.59,4.66
2e-05,2e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.15923,4.09415,4.02,4.05,4.04,4.04,4.01,3.99,3.98,3.96,3.9
4.92,4.98,4.09,4.11,4.12,4.13,4.31,4.17,4.31,4.5,4.57
0.2,0.2,0.3,0.28,0.4,0.4,0.37,0.36,0.21,0.22,0.22
,,,,,,,,,,
1.9171,1.99631,2.04,2.04,2.07,2.11,2.15,2.06,3.27,3.33,3.4
2.7,2.74,2.74,2.67,2.63,2.65,2.64,2.62,2.65,2.57,2.69
3.31309,3.30396,3.18,3.17,3.17,3.17,3.17,3.17,3.05,3.05,3.17
0.3025,0.2419,0.29,0.37,0.37,0.4,0.36,0.36,0.35,0.39,0.38
0.75573,0.68238,0.6,0.63,0.72,0.74,0.72,0.72,0.77,0.76,0.74
2.24392,2.00584,1.89,1.96,2.11,2.22,2.1,2.16,2.32,2.29,1.79
0.65159,0.6628,0.62,0.49,0.52,0.58,0.61,0.7,0.66,0.74,0.78
2.7959,2.83355,2.9,2.88,2.87,2.86,2.81,2.83,2.89,2.92,2.92
0.9318,0.95552,0.87,0.85,0.85,0.86,0.96,1.05,1.03,1.01,0.99
0.22273,0.14934,0.25,0.29,0.45,0.64,0.64,0.68,0.71,0.72,0.65
0.53415,0.64248,0.9,0.94,0.94,0.81,0.91,0.86,0.86,0.86,0.85
3.59742,3.34391,3.39,3.33,3.29,3.22,2.94,2.51,2.36,2.43,2.44
0.27631,0.22879,0.21,0.2,0.21,0.21,0.22,0.23,0.23,0.23,0.22
4.17268,3.77643,3.69,3.58,3.38,3.3,3.39,3.41,3.39,3.42,3.57
4.542,4.42845,4.3,4.22,4.29,4.23,4.13,4.13,4.09,4.01,3.97
1.77419,1.74847,1.79,1.95,2.02,1.97,1.94,1.97,1.73,1.96,1.98
0.7544,0.80894,0.19,0.17,0.12,0.12,0.21,0.26,0.2,0.22,0.18
0.46059,0.45547,0.61,0.73,0.84,0.98,1.12,1.08,1.1,1.18,1.26
1.47,1.09,1.67,2.05,2.07,2.12,2.23,1.93,1.93,1.93,1.2
2.003079855072464,1.961372536231884,1.960072463768116,1.9802173913043477,1.983623188405797,1.9705072463768112,1.9886231884057972,1.9928985507246375,1.996086956521739,2.004855072463768,2.01036231884058
